animal_id;data_nasc;sexo;grupo;data_peso_anterior;peso_anterior;data_peso_atual;peso_atual
PT134106978;20-12-2024;M;MRUIVO25;12-12-2025;275;06-01-2026;322
PT134364071;27-01-2025;M;MRUIVO21;20-01-2026;276;20-01-2026;276
PT134635398;11-04-2025;F;MRUIVO14;19-12-2025;242;06-01-2026;270
PT134833515;25-09-2024;M;TROLHO1;01-04-2025;242;28-01-2026;534
PT134867058;29-05-2025;M;MRUIVO19;31-12-2025;238;23-01-2026;273
PT134867077;14-06-2025;M;MRUIVO19;31-12-2025;221;23-01-2026;235
PT134942175;25-09-2024;M;TROLHO19;13-02-2025;136;26-01-2026;520
PT135003498;15-10-2024;M;TROLHO9;31-10-2025;258;27-01-2026;370
PT135016986;21-02-2025;F;MRUIVO10;05-12-2025;215;22-12-2025;218
PT135030067;28-06-2025;M;MRUIVO21;20-01-2026;264;20-01-2026;264
PT135045370;24-01-2025;F;TROLHO60;09-10-2025;266;26-01-2026;404
PT135088100;21-10-2024;F;TROLHO81;23-07-2025;230;27-01-2026;426
PT135088105;23-10-2024;F;TROLHO81;23-07-2025;216;27-01-2026;377
PT135107320;09-04-2025;F;MRUIVO14;12-12-2025;242;06-01-2026;275
PT135107325;19-04-2025;M;MRUIVO25;12-12-2025;244;06-01-2026;243
PT135108099;19-03-2025;M;MRUIVO25;12-12-2025;271;06-01-2026;296
PT135108438;19-04-2025;F;MRUIVO14;12-12-2025;194;06-01-2026;226
PT135108452;02-04-2025;M;MRUIVO25;12-12-2025;269;06-01-2026;312
PT135147208;18-05-2025;F;MRUIVO14;19-12-2025;177;06-01-2026;209
PT135153600;28-03-2025;F;MRUIVO14;19-12-2025;177;06-01-2026;183
PT135154053;13-05-2025;F;MRUIVO14;19-12-2025;174;06-01-2026;191
PT135154430;01-08-2025;F;MRUIVO14;19-12-2025;149;06-01-2026;168
PT135227615;19-12-2024;M;MRUIVO22;07-11-2025;256;28-11-2025;232
PT135229270;26-04-2025;M;MRUIVO18;28-11-2025;217;22-12-2025;250
PT135229275;30-04-2025;F;MRUIVO10;28-11-2025;265;22-12-2025;274
PT135244303;04-08-2025;M;ENF, TR FRISIOS;30-12-2025;172;22-01-2026;205
PT135265594;05-02-2025;F;TROLHO89;07-11-2025;229;26-01-2026;325
PT135274683;28-08-2024;M;TROLHO3;17-04-2025;229;20-11-2025;512
PT135277233;25-10-2024;F;TROLHO90;22-08-2025;262;26-01-2026;461
PT135279510;24-10-2024;F;TROLHO81;23-07-2025;300;27-01-2026;463
PT135279534;21-11-2024;F;TROLHO79;23-07-2025;250;27-01-2026;471
PT135279558;11-11-2024;F;TROLHO81;11-07-2025;222;27-01-2026;406
PT135279572;12-11-2024;M;TROLHO10;26-06-2025;254;28-01-2026;540
PT135279577;18-11-2024;M;TROLHO12;11-07-2025;288;28-01-2026;518
PT135292262;11-02-2025;F;MRUIVO10;26-11-2025;247;22-12-2025;281
PT135292267;27-02-2025;M;MRUIVO18;26-11-2025;221;22-12-2025;255
PT135304953;31-12-2024;F;TROLHO90;22-08-2025;250;26-01-2026;461
PT135311401;31-03-2025;F;MRUIVO12;13-01-2026;309;13-01-2026;309
PT135321226;06-07-2025;M;MRUIVO19;31-12-2025;198;23-01-2026;208
PT135325960;29-07-2025;M;ENF, TR FRISIOS;30-12-2025;151;22-01-2026;188
PT135325965;05-08-2025;M;ENF, TR FRISIOS;30-12-2025;180;22-01-2026;220
PT135344770;18-06-2025;M;MRUIVO19;31-12-2025;297;23-01-2026;329
PT135344817;18-07-2025;F;MRUIVO10;31-12-2025;153;23-01-2026;199
PT135344831;28-07-2025;M;ENF, TR FRISIOS;30-12-2025;170;22-01-2026;208
PT135344855;12-08-2025;M;ENF, TR FRISIOS;30-12-2025;146;22-01-2026;177
PT135350573;02-08-2025;M;ENF, TR FRISIOS;30-12-2025;180;22-01-2026;221
PT135350592;11-06-2025;M;MRUIVO19;31-12-2025;257;23-01-2026;276
PT135373886;08-06-2025;F;MRUIVO10;31-12-2025;221;23-01-2026;231
PT135569548;17-11-2024;F;TROLHO89;26-09-2025;196;26-01-2026;335
PT135569666;05-03-2025;F;TROLHO75_76;26-09-2025;284;27-01-2026;430
PT135571862;23-01-2025;M;TROLHO13;09-10-2025;290;27-01-2026;428
PT135575841;13-11-2024;M;TROLHO12;01-08-2025;324;28-01-2026;626
PT135575846;18-11-2024;M;SEM PARQUE;01-08-2025;298;24-10-2025;463
PT135595269;16-07-2025;F;TROLHO89;24-10-2025;230;26-01-2026;315
PT135603810;18-01-2025;F;MRUIVO12;13-01-2026;239;13-01-2026;239
PT135626548;25-02-2025;M;MRUIVO22;12-11-2025;159;28-11-2025;169
PT135626567;05-03-2025;F;SEM PARQUE;12-11-2025;238;12-11-2025;238
PT135647593;30-12-2024;M;TROLHO19;05-06-2025;236;26-01-2026;512
PT135647598;31-12-2024;F;TROLHO79;05-06-2025;272;27-01-2026;510
PT135647616;04-05-2025;M;TROLHO20;26-09-2025;256;27-01-2026;392
PT135650307;28-02-2025;M;MRUIVO16;19-01-2026;365;19-01-2026;365
PT135653112;30-12-2024;M;MRUIVO18;28-11-2025;229;22-12-2025;248
PT135654225;15-03-2025;M;TROLHO18;26-09-2025;246;27-01-2026;444
PT135655715;21-12-2024;M;TROLHO16;22-08-2025;260;28-01-2026;416
PT135658402;29-07-2025;M;ENF, TR FRISIOS;30-12-2025;186;22-01-2026;219
PT135661414;15-07-2025;F;MRUIVO12;13-01-2026;288;13-01-2026;288
PT135661914;11-02-2025;M;MRUIVO26;18-11-2025;316;05-12-2025;359
PT135662749;06-03-2025;M;MRUIVO16;20-01-2026;385;20-01-2026;385
PT135685892;16-11-2024;M;TROLHO17;03-10-2025;282;27-01-2026;500
PT135685897;16-11-2024;M;TROLHO17;03-10-2025;314;27-01-2026;490
PT135702773;06-04-2025;M;MRUIVO15;17-12-2025;338;14-01-2026;382
PT135702778;12-04-2025;M;MRUIVO15;17-12-2025;318;14-01-2026;349
PT135702792;16-05-2025;F;MRUIVO14;17-12-2025;261;06-01-2026;294
PT135702797;18-05-2025;M;MRUIVO15;17-12-2025;243;14-01-2026;299
PT135707322;29-12-2024;F;MRUIVO13;12-11-2025;239;05-12-2025;266
PT135707327;29-12-2024;F;MRUIVO13;12-11-2025;221;05-12-2025;246
PT135707341;20-01-2025;M;MRUIVO22;12-11-2025;227;28-11-2025;246
PT135707346;07-05-2025;F;MRUIVO13;12-11-2025;139;05-12-2025;169
PT135708010;01-01-2025;M;TROLHO12;09-07-2025;234;28-01-2026;516
PT135708015;07-01-2025;M;TROLHO12;09-07-2025;220;28-01-2026;530
PT135708515;05-12-2024;F;TROLHO79;23-07-2025;242;27-01-2026;420
PT135708539;02-01-2025;F;TROLHO79;23-07-2025;242;27-01-2026;468
PT135727783;08-11-2024;M;TROLHO24;29-05-2025;216;27-01-2026;466
PT135727788;16-11-2024;M;TROLHO24;29-05-2025;284;27-01-2026;586
PT135727924;10-12-2024;M;TROLHO24;30-05-2025;221;27-01-2026;522
PT135729348;10-12-2024;M;TROLHO14;22-08-2025;324;26-01-2026;550
PT135732893;27-01-2025;F;MRUIVO12;13-01-2026;343;13-01-2026;343
PT135736391;08-11-2024;M;TROLHO17;03-10-2025;296;27-01-2026;510
PT135736599;10-01-2025;M;TROLHO16;25-08-2025;240;28-01-2026;430
PT135748370;28-12-2024;F;TROLHO91;09-10-2025;288;26-01-2026;425
PT135748375;31-12-2024;M;TROLHO11;09-10-2025;220;28-01-2026;344
PT135749247;16-01-2025;M;MRUIVO20;20-01-2026;275;20-01-2026;275
PT135749483;29-03-2025;F;MRUIVO12;13-01-2026;413;13-01-2026;413
PT135749662;18-01-2025;F;TROLHO89;10-11-2025;300;26-01-2026;387
PT135753386;08-12-2024;F;TROLHO60;09-10-2025;224;26-01-2026;371
PT135761980;17-11-2024;F;MRUIVO13;18-11-2025;177;05-12-2025;191
PT135764318;15-01-2025;M;TROLHO14;22-08-2025;322;26-01-2026;480
PT135764332;12-02-2025;F;TROLHO90;22-08-2025;258;26-01-2026;425
PT135764337;21-04-2025;F;MRUIVO13;19-11-2025;204;05-12-2025;232
PT135778013;18-03-2025;M;MRUIVO25;12-12-2025;224;06-01-2026;248
PT135892443;16-05-2025;F;MRUIVO10;05-12-2025;188;22-12-2025;204
PT135892448;16-05-2025;F;MRUIVO10;05-12-2025;312;22-12-2025;317
PT135906794;04-01-2025;M;TROLHO16;25-08-2025;226;28-01-2026;348
PT135906799;25-01-2025;M;TROLHO14;25-08-2025;258;26-01-2026;470
PT135907581;21-01-2025;F;MRUIVO13;19-11-2025;284;05-12-2025;313
PT135909165;11-04-2025;M;MRUIVO20;23-01-2026;262;23-01-2026;262
PT135909184;05-07-2025;M;MRUIVO20;23-01-2026;187;23-01-2026;187
PT135911385;24-03-2025;M;MRUIVO21;19-01-2026;342;19-01-2026;342
PT135911842;26-01-2025;M;TROLHO11;07-10-2025;194;28-01-2026;324
PT135911847;28-01-2025;F;TROLHO91;07-10-2025;262;26-01-2026;399
PT135911989;02-02-2025;M;TROLHO11;09-10-2025;226;28-01-2026;424
PT135912252;04-02-2025;F;MRUIVO12;13-01-2026;333;13-01-2026;333
PT135912276;27-04-2025;M;MRUIVO16;19-01-2026;298;19-01-2026;298
PT135915029;28-07-2025;M;MRUIVO23;09-01-2026;258;09-01-2026;258
PT135915062;05-09-2025;F;MRUIVO12;09-01-2026;180;09-01-2026;180
PT135916618;05-04-2025;M;MRUIVO18;28-11-2025;164;22-12-2025;185
PT135922393;26-02-2025;F;TROLHO89;17-11-2025;273;26-01-2026;378
PT135925684;23-12-2024;F;TROLHO79;13-06-2025;184;27-01-2026;427
PT135926056;19-11-2024;F;TROLHO79;13-06-2025;256;27-01-2026;500
PT135928630;04-12-2024;F;TROLHO79;23-07-2025;274;27-01-2026;476
PT135928635;17-12-2024;M;TROLHO14;23-07-2025;258;26-01-2026;480
PT135928673;19-11-2024;M;TROLHO10;26-06-2025;288;28-01-2026;574
PT135928678;22-11-2024;F;TROLHO79;26-06-2025;242;27-01-2026;469
PT135928692;28-01-2025;M;TROLHO10;26-06-2025;234;28-01-2026;554
PT135928697;01-01-2025;F;TROLHO79;26-06-2025;178;27-01-2026;378
PT135928734;05-11-2024;M;TROLHO16;23-07-2025;194;28-01-2026;466
PT135928739;11-11-2024;F;TROLHO81;23-07-2025;258;27-01-2026;490
PT135928758;26-11-2024;F;TROLHO79;23-07-2025;244;27-01-2026;470
PT135928777;11-11-2024;M;TROLHO10;22-08-2025;264;28-01-2026;516
PT135928791;22-11-2024;M;TROLHO10;22-08-2025;258;28-01-2026;544
PT135928796;22-11-2024;M;TROLHO19;22-08-2025;232;26-01-2026;492
PT135928814;01-01-2025;F;TROLHO90;22-08-2025;232;26-01-2026;431
PT135929286;14-01-2025;F;TROLHO79;23-07-2025;194;27-01-2026;365
PT135929304;14-02-2025;F;TROLHO79;23-07-2025;162;27-01-2026;378
PT135929866;11-03-2025;F;MRUIVO13;12-11-2025;225;05-12-2025;234
PT135931703;20-11-2024;M;TROLHO18;31-10-2025;288;27-01-2026;412
PT135931708;15-02-2025;F;TROLHO89;31-10-2025;228;26-01-2026;339
PT135938597;28-12-2024;F;TROLHO91;10-10-2025;270;26-01-2026;384
PT135948317;27-04-2025;M;MRUIVO16;19-01-2026;383;19-01-2026;383
PT135949284;29-03-2025;F;TROLHO89;10-11-2025;242;26-01-2026;348
PT135949289;31-03-2025;F;TROLHO89;10-11-2025;258;26-01-2026;341
PT135949680;29-03-2025;F;MRUIVO12;13-01-2026;270;13-01-2026;270
PT135949727;15-03-2025;M;MRUIVO25;19-12-2025;229;06-01-2026;233
PT135949741;11-04-2025;M;ENFERMARIA MR;19-12-2025;176;06-01-2026;163
PT135955600;26-01-2025;F;TROLHO90;22-08-2025;284;26-01-2026;397
PT135955681;04-03-2025;F;MRUIVO12;16-01-2026;224;16-01-2026;224
PT135956270;15-02-2025;M;TROLHO15;02-10-2025;224;26-01-2026;376
PT135956294;12-04-2025;F;MRUIVO14;12-12-2025;179;06-01-2026;231
PT135959264;11-03-2025;F;MRUIVO13;14-11-2025;199;05-12-2025;209
PT135959269;14-03-2025;M;MRUIVO26;14-11-2025;251;05-12-2025;277
PT135959283;31-03-2025;M;MRUIVO26;14-11-2025;205;05-12-2025;224
PT135959288;04-04-2025;M;MRUIVO26;14-11-2025;226;05-12-2025;254
PT135959301;30-06-2025;M;MRUIVO26;14-11-2025;200;05-12-2025;235
PT135959967;10-02-2025;M;MRUIVO21;19-01-2026;365;19-01-2026;365
PT135959981;21-03-2025;M;MRUIVO21;19-01-2026;338;19-01-2026;338
PT135960178;02-03-2025;M;MRUIVO15;24-12-2025;246;14-01-2026;278
PT135960579;11-02-2025;F;MRUIVO12;13-01-2026;394;13-01-2026;394
PT135970110;29-01-2025;F;MRUIVO12;13-01-2026;285;13-01-2026;285
PT135970191;24-01-2025;M;MRUIVO21;20-01-2026;264;20-01-2026;264
PT135971322;11-05-2025;F;MRUIVO12;13-01-2026;335;13-01-2026;335
PT135971341;12-05-2025;M;MRUIVO16;20-01-2026;308;20-01-2026;308
PT135971346;13-05-2025;F;MRUIVO12;13-01-2026;264;13-01-2026;264
PT135973685;17-04-2025;F;MRUIVO12;13-01-2026;293;13-01-2026;293
PT135974774;27-04-2025;M;MRUIVO20;21-01-2026;199;21-01-2026;199
PT135974830;24-04-2025;M;MRUIVO20;21-01-2026;174;21-01-2026;174
PT135977503;06-01-2025;M;TROLHO10;26-06-2025;252;28-01-2026;568
PT135977508;07-01-2025;M;TROLHO2;11-07-2025;140;26-01-2026;400
PT135977527;29-01-2025;M;TROLHO18;01-08-2025;270;28-01-2026;520
PT135977541;30-01-2025;F;TROLHO89;20-10-2025;188;26-01-2026;320
PT135977560;14-02-2025;M;TROLHO19;22-08-2025;248;26-01-2026;516
PT135978390;14-01-2025;F;TROLHO89;29-09-2025;172;26-01-2026;288
PT135978395;14-01-2025;F;TROLHO79;26-06-2025;194;27-01-2026;370
PT135978413;10-02-2025;M;TROLHO10;26-06-2025;198;28-01-2026;504
PT135978418;20-02-2025;M;TROLHO8;29-09-2025;198;26-01-2026;354
PT135978432;26-03-2025;M;TROLHO19;26-06-2025;182;26-01-2026;470
PT135978437;08-04-2025;F;TROLHO60;29-09-2025;188;26-01-2026;309
PT135978451;07-04-2025;F;TROLHO89;10-07-2025;94;26-01-2026;345
PT135978456;12-02-2025;M;TROLHO2;11-07-2025;176;26-01-2026;426
PT135978470;17-02-2025;M;TROLHO2;09-07-2025;140;26-01-2026;420
PT135978494;08-04-2025;F;TROLHO60;29-09-2025;168;26-01-2026;312
PT135982736;10-05-2025;F;MRUIVO14;12-12-2025;179;06-01-2026;207
PT135982750;15-06-2025;M;MRUIVO17;12-12-2025;173;06-01-2026;220
PT135982811;05-05-2025;F;MRUIVO12;16-01-2026;232;16-01-2026;232
PT135982816;18-04-2025;M;MRUIVO17;05-12-2025;250;06-01-2026;307
PT135983641;31-01-2025;M;TROLHO16;23-07-2025;224;28-01-2026;424
PT135983646;10-02-2025;F;TROLHO79;23-07-2025;188;27-01-2026;413
PT135983660;09-04-2025;F;TROLHO89;06-10-2025;210;26-01-2026;330
PT135983745;05-03-2025;F;TROLHO90;01-08-2025;196;26-01-2026;402
PT135983769;08-04-2025;F;TROLHO60;20-10-2025;198;26-01-2026;323
PT135983806;01-05-2025;M;TROLHO2;07-08-2025;192;26-01-2026;396
PT135983825;06-02-2025;M;TROLHO2;11-07-2025;164;26-01-2026;430
PT135983849;20-02-2025;M;TROLHO2;07-08-2025;200;26-01-2026;464
PT135983863;05-03-2025;M;TROLHO8;10-07-2025;144;26-01-2026;404
PT135983868;05-03-2025;F;TROLHO79;11-07-2025;148;27-01-2026;390
PT135983924;14-02-2025;F;TROLHO90;07-08-2025;200;26-01-2026;379
PT135983943;08-04-2025;M;TROLHO8;06-10-2025;176;26-01-2026;324
PT135984094;07-04-2025;F;TROLHO60;06-10-2025;220;26-01-2026;324
PT135984099;07-04-2025;F;TROLHO89;06-10-2025;192;26-01-2026;324
PT135984877;20-03-2025;M;TROLHO9;24-10-2025;297;27-01-2026;424
PT135984891;17-04-2025;F;TROLHO89;24-10-2025;209;26-01-2026;293
PT135984896;13-05-2025;F;TROLHO60;24-10-2025;216;26-01-2026;288
PT135984914;16-07-2025;F;MRUIVO10;31-12-2025;167;23-01-2026;192
PT135984919;04-08-2025;F;MRUIVO10;31-12-2025;189;23-01-2026;196
PT135989865;25-04-2025;M;MRUIVO16;20-01-2026;198;20-01-2026;198
PT135989921;23-02-2025;M;TROLHO18;17-10-2025;198;26-01-2026;250
PT135989926;10-04-2025;M;MRUIVO15;24-12-2025;225;14-01-2026;239
PT135990798;22-02-2025;M;MRUIVO23;31-12-2025;243;31-12-2025;243
PT136019578;09-02-2025;M;MRUIVO21;19-01-2026;295;19-01-2026;295
PT136019795;02-07-2025;M;MRUIVO20;20-01-2026;295;20-01-2026;295
PT136021953;17-04-2025;M;MRUIVO17;10-12-2025;215;06-01-2026;259
PT136021958;22-04-2025;M;MRUIVO17;10-12-2025;170;06-01-2026;212
PT136021972;17-06-2025;F;MRUIVO10;10-12-2025;187;22-12-2025;196
PT136023631;28-03-2025;F;MRUIVO13;12-11-2025;172;05-12-2025;200
PT136027252;01-06-2025;F;MRUIVO12;13-01-2026;323;13-01-2026;323
PT136027394;08-02-2025;F;MRUIVO12;13-01-2026;361;13-01-2026;361
PT136027931;23-05-2025;F;MRUIVO9;20-01-2026;253;20-01-2026;253
PT136028087;15-06-2025;M;TROLHO20;26-09-2025;172;27-01-2026;306
PT136028105;17-06-2025;M;TROLHO20;26-09-2025;248;27-01-2026;450
PT136028124;19-06-2025;F;TROLHO89;26-09-2025;214;26-01-2026;334
PT136032664;28-03-2025;M;MRUIVO15;17-12-2025;297;14-01-2026;335
PT136032669;06-04-2025;F;MRUIVO14;17-12-2025;306;06-01-2026;330
PT136034460;23-07-2025;M;ENF, TR FRISIOS;30-12-2025;200;22-01-2026;235
PT136034465;24-07-2025;M;ENF, TR FRISIOS;30-12-2025;192;22-01-2026;221
PT136037171;11-06-2025;M;MRUIVO19;31-12-2025;239;23-01-2026;276
PT136037176;15-06-2025;M;MRUIVO19;31-12-2025;285;23-01-2026;281
PT136040720;12-03-2025;M;MRUIVO22;10-11-2025;244;28-11-2025;281
PT136040725;19-03-2025;M;MRUIVO22;10-11-2025;168;28-11-2025;204
PT136040744;10-05-2025;M;MRUIVO20;20-01-2026;181;20-01-2026;181
PT136041739;18-07-2025;F;MRUIVO12;13-01-2026;326;13-01-2026;326
PT136042040;17-02-2025;F;MRUIVO12;13-01-2026;335;13-01-2026;335
PT136042101;14-06-2025;M;MRUIVO15;24-12-2025;273;14-01-2026;297
PT136042106;15-06-2025;M;MRUIVO15;24-12-2025;222;14-01-2026;229
PT136042700;21-04-2025;F;MRUIVO9;20-01-2026;192;20-01-2026;192
PT136043511;25-03-2025;F;MRUIVO12;13-01-2026;316;13-01-2026;316
PT136043516;29-03-2025;M;MRUIVO21;19-01-2026;356;19-01-2026;356
PT136043719;20-03-2025;F;MRUIVO12;13-01-2026;297;13-01-2026;297
PT136043771;05-04-2025;F;MRUIVO12;13-01-2026;284;13-01-2026;284
PT136043974;26-05-2025;F;MRUIVO9;20-01-2026;263;20-01-2026;263
PT136044204;17-06-2025;M;MRUIVO15;24-12-2025;229;14-01-2026;246
PT136044209;19-06-2025;M;MRUIVO15;24-12-2025;236;14-01-2026;267
PT136044322;02-04-2025;F;MRUIVO12;13-01-2026;250;13-01-2026;250
PT136044327;02-04-2025;F;MRUIVO12;13-01-2026;328;13-01-2026;328
PT136044365;09-04-2025;F;MRUIVO12;13-01-2026;308;13-01-2026;308
PT136050984;28-04-2025;M;MRUIVO26;19-11-2025;214;05-12-2025;254
PT136050989;29-04-2025;F;MRUIVO13;19-11-2025;244;05-12-2025;262
PT136051097;05-04-2025;F;MRUIVO14;17-12-2025;251;06-01-2026;257
PT136051115;07-05-2025;F;MRUIVO14;17-12-2025;214;06-01-2026;225
PT136052945;23-04-2025;F;MRUIVO13;19-11-2025;229;05-12-2025;240
PT136055392;07-05-2025;M;TROLHO18;06-10-2025;282;27-01-2026;476
PT136055397;02-05-2025;F;TROLHO60;06-10-2025;222;26-01-2026;329
PT136064622;21-03-2025;M;MRUIVO18;26-11-2025;214;22-12-2025;256
PT136064627;23-03-2025;F;MRUIVO10;26-11-2025;269;22-12-2025;277
PT136065471;21-05-2025;M;MRUIVO19;31-12-2025;238;23-01-2026;284
PT136065476;26-05-2025;F;MRUIVO10;31-12-2025;177;23-01-2026;189
PT136067550;15-02-2025;M;TROLHO17;03-10-2025;258;27-01-2026;410
PT136067555;15-02-2025;F;TROLHO89;03-10-2025;206;26-01-2026;330
PT136067574;18-02-2025;M;TROLHO17;03-10-2025;298;27-01-2026;500
PT136067579;18-02-2025;F;TROLHO91;03-10-2025;224;26-01-2026;339
PT136067593;20-02-2025;M;TROLHO17;03-10-2025;254;27-01-2026;410
PT136072603;23-02-2025;F;MRUIVO10;28-11-2025;219;22-12-2025;253
PT136072608;28-02-2025;F;MRUIVO10;26-11-2025;233;22-12-2025;265
PT136072622;05-03-2025;F;MRUIVO10;28-11-2025;317;22-12-2025;345
PT136072627;06-03-2025;M;MRUIVO18;26-11-2025;267;22-12-2025;319
PT136072641;11-03-2025;F;MRUIVO10;28-11-2025;274;22-12-2025;304
PT136072646;12-03-2025;F;MRUIVO10;28-11-2025;239;22-12-2025;287
PT136072660;18-03-2025;M;MRUIVO18;26-11-2025;235;22-12-2025;287
PT136072665;18-03-2025;F;MRUIVO10;26-11-2025;205;22-12-2025;244
PT136072684;25-03-2025;M;MRUIVO18;26-11-2025;277;22-12-2025;324
PT136072689;26-03-2025;F;MRUIVO10;26-11-2025;277;22-12-2025;339
PT136072702;31-03-2025;F;MRUIVO10;26-11-2025;231;22-12-2025;277
PT136072721;14-05-2025;M;MRUIVO18;26-11-2025;253;22-12-2025;301
PT136072726;15-05-2025;M;MRUIVO18;26-11-2025;185;22-12-2025;221
PT136072740;30-05-2025;M;MRUIVO18;28-11-2025;255;22-12-2025;279
PT136085370;19-04-2025;M;TROLHO15;17-10-2025;198;26-01-2026;330
PT136085554;04-04-2025;M;MRUIVO26;14-11-2025;216;05-12-2025;246
PT136086025;15-03-2025;F;TROLHO91;10-10-2025;198;26-01-2026;314
PT136086044;15-03-2025;M;TROLHO11;10-10-2025;242;28-01-2026;408
PT136086049;15-03-2025;F;MRUIVO10;10-10-2025;126;22-12-2025;191
PT136086063;15-03-2025;F;TROLHO91;10-10-2025;206;26-01-2026;359
PT136089274;10-07-2025;M;MRUIVO20;23-01-2026;184;23-01-2026;184
PT136094464;10-03-2025;M;TROLHO13;09-10-2025;260;27-01-2026;436
PT136094469;19-03-2025;M;TROLHO13;09-10-2025;278;27-01-2026;432
PT136095515;30-03-2025;F;TROLHO91;03-10-2025;204;26-01-2026;330
PT136095770;20-04-2025;M;MRUIVO20;20-01-2026;249;20-01-2026;249
PT136095775;01-05-2025;M;MRUIVO20;20-01-2026;293;20-01-2026;293
PT136098221;10-06-2025;M;MRUIVO19;31-12-2025;209;23-01-2026;247
PT136098269;25-06-2025;F;MRUIVO10;31-12-2025;210;23-01-2026;227
PT136098288;28-06-2025;F;MRUIVO10;31-12-2025;219;23-01-2026;233
PT136098301;10-08-2025;M;ENF, TR FRISIOS;30-12-2025;167;22-01-2026;202
PT136098344;13-07-2025;F;MRUIVO10;31-12-2025;189;23-01-2026;217
PT136098368;27-07-2025;F;MRUIVO10;31-12-2025;173;23-01-2026;201
PT136098387;01-08-2025;M;ENF, TR FRISIOS;30-12-2025;155;22-01-2026;189
PT136098660;01-04-2025;F;TROLHO89;24-10-2025;205;26-01-2026;292
PT136098665;07-04-2025;F;TROLHO89;24-10-2025;255;26-01-2026;353
PT136101063;12-08-2025;M;MRUIVO22;12-11-2025;205;28-11-2025;213
PT136104132;08-05-2025;F;MRUIVO13;19-11-2025;165;05-12-2025;190
PT136104137;19-05-2025;M;MRUIVO26;19-11-2025;192;05-12-2025;213
PT136108470;23-04-2025;M;TROLHO11;10-10-2025;180;28-01-2026;314
PT136108475;23-04-2025;M;TROLHO11;10-10-2025;220;28-01-2026;386
PT136127204;05-05-2025;M;MRUIVO21;16-01-2026;308;16-01-2026;308
PT136135285;23-07-2025;M;MRUIVO16;19-01-2026;250;19-01-2026;250
PT136135303;24-07-2025;F;MRUIVO12;13-01-2026;288;13-01-2026;288
PT136135322;24-07-2025;F;MRUIVO12;13-01-2026;407;13-01-2026;407
PT136140673;16-04-2025;M;MRUIVO18;26-11-2025;273;22-12-2025;297
PT136140678;17-04-2025;F;MRUIVO10;26-11-2025;231;22-12-2025;230
PT136140734;17-04-2025;M;MRUIVO18;26-11-2025;213;22-12-2025;249
PT136140739;18-04-2025;F;MRUIVO10;26-11-2025;276;22-12-2025;296
PT136143322;18-08-2025;F;TROLHO89;31-10-2025;272;26-01-2026;403
PT136143327;18-08-2025;F;TROLHO89;31-10-2025;228;26-01-2026;340
PT136147400;27-06-2025;M;TROLHO11;07-10-2025;218;28-01-2026;372
PT136147424;05-07-2025;F;TROLHO91;07-10-2025;192;26-01-2026;371
PT136147429;07-07-2025;F;TROLHO91;07-10-2025;216;26-01-2026;367
PT224590338;18-02-2025;M;MRUIVO18;28-11-2025;222;22-12-2025;251
PT224592733;28-04-2025;M;MRUIVO18;28-11-2025;111;22-12-2025;134
PT233929136;08-06-2025;F;MRUIVO10;31-12-2025;250;23-01-2026;256
PT233929990;17-02-2025;M;MRUIVO26;14-11-2025;182;05-12-2025;179
PT233930002;15-04-2025;F;MRUIVO13;14-11-2025;196;05-12-2025;188
PT233930007;17-04-2025;M;MRUIVO26;14-11-2025;152;05-12-2025;168
PT233935090;08-03-2025;M;MRUIVO16;20-01-2026;309;20-01-2026;309
PT234109254;18-03-2025;M;MRUIVO25;12-12-2025;146;06-01-2026;161
PT234364080;25-03-2025;F;MRUIVO12;13-01-2026;324;13-01-2026;324
PT234364085;27-03-2025;F;MRUIVO12;13-01-2026;324;13-01-2026;324
PT234548980;17-03-2025;M;MRUIVO26;18-11-2025;131;05-12-2025;164
PT234616115;31-10-2024;M;TROLHO14;22-08-2025;336;26-01-2026;530
PT234635401;03-05-2025;F;MRUIVO14;19-12-2025;268;06-01-2026;303
PT234847620;11-10-2024;M;TROLHO1;01-04-2025;168;28-01-2026;434
PT234854210;20-07-2025;M;ENF, TR FRISIOS;30-12-2025;207;22-01-2026;247
PT234867081;19-06-2025;M;MRUIVO19;31-12-2025;228;23-01-2026;274
PT234878391;13-06-2025;M;MRUIVO19;31-12-2025;248;23-01-2026;292
PT234881907;19-05-2025;M;MRUIVO17;12-12-2025;151;06-01-2026;187
PT234964902;12-11-2024;M;TROLHO1;15-04-2025;128;28-01-2026;452
PT235045365;24-12-2024;M;TROLHO13;09-10-2025;388;27-01-2026;520
PT235069649;31-12-2024;F;TROLHO60;17-11-2025;264;26-01-2026;351
PT235088096;14-10-2024;F;TROLHO81;23-07-2025;262;27-01-2026;452
PT235088114;31-10-2024;F;TROLHO81;23-07-2025;254;27-01-2026;477
PT235106382;08-04-2025;M;MRUIVO25;12-12-2025;305;06-01-2026;324
PT235106783;07-04-2025;M;MRUIVO25;12-12-2025;285;06-01-2026;301
PT235108102;25-03-2025;M;MRUIVO25;12-12-2025;228;06-01-2026;257
PT235108447;08-03-2025;F;MRUIVO14;12-12-2025;232;06-01-2026;262
PT235154048;21-04-2025;F;MRUIVO14;19-12-2025;198;06-01-2026;205
PT235229265;06-03-2025;F;TROLHO60;28-11-2025;222;26-01-2026;288
PT235248834;11-02-2025;M;MRUIVO26;18-11-2025;287;05-12-2025;318
